Shop name,Admin link,motherduck shop id,VinFast Dealer Code (from Admin),RW Dealer Code (from Admin),Send welcome email (If zoho contract missing),Shop email address,VF Onboarding status,Shop status,Operational Status,Go-live week,Shop address,Send VF Email,VF Email sent date,RepairWise: Schedule VinFast in-person Technical training,RepairWise: Conduct portal walkthrough,VinFast: Create dealer portal account and add shop address to STP address list with supplied email address,VinFast: VCI: Ship scan tool to shop with supplied address,DSA / VDSA Activated,RepairWise: DSA: Log serial number in spreadsheet,Stock parts order,Welcome Email sent date,pm_count,routableId,Routable status,Routable - Last 4 of account number,ADAS calibration equipped,ADAS summary,Create Shop Profile,Add shop to quickbooks and Routable,Technical training completed,Owner webinar complete,DSA / VDSA Account Received and Sent to Shop ,DSA / VDSA Account Requested ,Wall Charger Ordered ,VCI Ordered,VDSA Ordered,Shop has DSA/VDSA/Portal access and wall charger installed ,Shop Activated ,VinFast notified,Month 1 check in performed,Month 1 check-in date,Month 2 check-in performed,Month 2 check-in date,VF notified,Return unused parts,Return VF Equipment ,Labor Rate Requested,Labor Rate Approved,Booking URL for tow-ins,Physical Address (from Dealer link),OB Notes,last_routable_link_sent_at,last_routable_link_status,last_routable_error
"Midas Sacramento West, Carmichael, Fremont",,,,,,kurt@inclinedmotors.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
"Midas Vacaville, San Leandro, Fremont",,,,,,deep42100@yahoo.com,,,,,,,,,,,,,,,11/12/2025 4:22pm,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Midas Ventura  DUP,Midas Ventura,8250d882-7942-40a8-8e9d-f767acd7c90c,US810045,924342,,adbhangu@gmail.com,,,,,,,,,,,,,,,,1,9d9f4a52-504b-4862-a337-3939665668a9,Payout method linked,0827,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=8250d882-7942-40a8-8e9d-f767acd7c90c,,Fully Operational,,,
Hybrid Energy Solutions,,,,,,HybridEnergySolutions24@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
V.E.S.T.,,,,,,infovestfix@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Star Tech Auto Paint & Body,,,,,,sbstartech@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Pulido's Auto Repair,,,,,,j_pulidos@hotmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
EC Auto Pros,,,,,,qubitsint@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
HYBRID AND ELECTRIC CAR SALES LLC,,,,,,INFO@HYBRIDANDELECTRICCARSALES.COM,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Unknown,,,,,,quintenshafer@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
HYBRID AND ELECTRIC CAR SALES LLC,,,,,,info@hybridandelectriccarsales.com,,,,,,,,,,,,,,,12/16/2025 8:07am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Factor EV Service,,,,,,factor.ev.service@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Aamco Hialeah,,,,,,aamcohialeah@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Unknown,,,,,,mjm1339@gmail.com,,,,,,,,,,,,,,,12/18/2025 1:35pm,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Donutparts,,,,,,John@Donutparts.com,,,,,,,,,,,,,,,12/30/2025 10:23am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
City Collisions,,,,,,contact@citycollisions.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Gethiitbox,,,,,,todd@gethiitbox.com,,,,,,,,,,,,,,,1/1/2026 7:40am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Unknown,,,,,,jalvelo18@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Space Ev,,,,,,info@space-ev.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Automotive Solutions And Services,,,,,,automotivesolutionsandservices@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Bakersfield Auto Services,,,,,,bakersfieldautoservices@gmail.com,,,,,,,,,,,,,,,1/13/2026 4:14pm,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
YourMechanic813,,,,,,yourmechanic813@gmail.com,,,,,"206 E Robertson St, Brandon, FL 33511",,,,,,,,,,1/16/2026 9:55am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
All About Price ,All About Price,e78c2a2e-86ff-4298-9ab8-d18f90ff60ef,,223336,,AllAboutPriceFinance@gmail.com,,,,,,,,,,,,,,,1/19/2026 2:11pm,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=e78c2a2e-86ff-4298-9ab8-d18f90ff60ef,,,,,
Aamco Hialeah,,,,,,aamcohialeah@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Charlotte Autobody And Repair,,,,,,matthew@charlotteautobodyandrepair.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
All About Price,,,,,,AllAboutPriceFinance@gmail.com,,,,,"1025 N State St Suite A, Bunnell, FL 32110",,,,,,,,,,1/27/2026 9:43am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"1025 N State St Suite A, Bunnell, FL 32110",,,,
Mission Viejo Transmission & Auto Repair,,,,,,mvtransmission16@gmail.com,,,,,"27220 La Paz Rd m, Mission Viejo, CA 92692",,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Jeautomotive,,,,,,service@jeautomotive.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Midas Orange,,,,,,midasorangeca@gmail.com,,,,,"1922 E Chapman Ave, Orange, CA 92867",,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Midas Colorado,,,,,,jeffg@wencoindustries.com,,,,,,,,,,,,,,,2/23/2026 10:16am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Duro EV,Duro EV,fe0f7a4c-27d1-4978-9af6-7695d520dfa3,,788773,,info@duroev.com,,,,,"4902 New Bern Ave, Raleigh, NC 27610",,,,,,,,,,2/19/2026 7:03am,1,4b2c75ed-4425-4071-80dc-01552b57d594,Payout method linked,7396,,ADAS Calibrations: ❌,checked,checked,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=fe0f7a4c-27d1-4978-9af6-7695d520dfa3,"4902 New Bern Ave, Raleigh, NC 27610",,,,
Just Right Auto,Just Right Auto,9511bd69-c25b-46ca-97e1-a1ea6d5f5734,,998585,,quintenshafer@gmail.com,,,,,"531 N West St, Wichita, KS 67203",,,,,,,,,,2/18/2026 9:40pm,0,f2427cd2-5d5f-45b7-98b5-5fcec2c01168,Account created,,,ADAS Calibrations: ❌,checked,checked,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=9511bd69-c25b-46ca-97e1-a1ea6d5f5734,"531 N West St, Wichita, KS 67203",,,,
Parkwood Collision,,,,,,tim@parkwoodcollision.com,,,,,"26878 E University Dr, Aubrey, TX 76227",,,,,,,,,,2/25/2026 11:09am,,,No Routable account,,,ADAS Calibrations: ❌,checked,checked,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,shannon@ecoautonw.com,,,,,,,,,,,,,,,4/14/2026 6:19pm,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,management@toyotaandtesla.com,,,,,,,,,,,,,,,4/1/2026 3:45pm,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,prestigeauto44250@gmail.com,,,,,,,,,,,,,,,4/8/2026 10:40am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Midas Ft Lauderdale,Midas Ft Lauderdale,a8de6586-da4f-4435-ae54-f52f340bc9c6,,512113,,joel_victores@yahoo.com,,,,,,,,,,,,,,,4/6/2026 12:05pm,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=a8de6586-da4f-4435-ae54-f52f340bc9c6,,,,,
,,,,,,info.dpsautomotive@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,qrautoclinic23@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,casdryer@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,onestopauto225@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,anthony@auto-fix.com,,,,,,,,,,,,,,,4/10/2026 10:18am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,roger@hanswittler.com,,,,,,,,,,,,,,,4/10/2026 10:43am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,onestopauto225@gmail.com,,,,,,,,,,,,,,,4/15/2026 2:33pm,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,raysevservice@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,oceansidetire@yahoo.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
,,,,,,said@platinumglendale.com,,,,,,,,,,,,,,,4/28/2026 11:08am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
The Auto Crue,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"6040 Cerritos Ave, Cypress, CA 90630",,,,
CPR EV Repair Austin,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"607 Leander Dr Suite 210, Leander, TX 78641",,,,
Advanced Auto Repair and Tire,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"25751 Dollar St #4, Hayward, CA 94544",,,,
Apple Collision Leimert Park,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"3443 W 43rd St, Los Angeles, CA 90008",,,,
Purely Electric,Purely Electric,da34f806-47fc-4a74-8021-3f185dd6b8cf,,214738,,,,,,,"6700 Dawson Blvd, Building 3 - Suite A, Norcross GA 30093",,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=da34f806-47fc-4a74-8021-3f185dd6b8cf,"6700 Dawson Blvd, Building 3 - Suite A, Norcross GA 30093",,,,
CPR EV Repair Houston,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"19005 FM 529 Unit 4E, Cypress, TX 77433",,,,
Exclusive Motors - Sac,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"2499 Arden way Sacramento, CA 95825",,,,
Chestnut Auto,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"160 Chestnut St unit b, Redwood City, CA 94063",,,,
Tesla Specialists,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"3784 Omec Cir #5, Rancho Cordova, CA 95742",,,,
Automotive Fleet Solutions,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"1051 N Parker St, Orange, CA 92867",,,,
High Voltage Auto,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"4101 E Brundage Ln Suite B, Bakersfield, CA 93307",,,,
Your Mechanic 813,Your Mechanic 813,db4644a0-24c1-40eb-9dd6-7c811131aa88,,680157,,,,,,,"206 E Robertson St, Brandon, FL 33511",,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=db4644a0-24c1-40eb-9dd6-7c811131aa88,"206 E Robertson St, Brandon, FL 33511",,,,
Donut Auto Parts,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"3784 Omec Cir #5, Rancho Cordova, CA 95742",,,,
Midas Fair Oak,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"8118 Greenback Ln, Fair Oaks, CA 95628",,,,
Multi Auto Group Inc,,,,,,,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"6161 Kester Ave, Van Nuys, CA 91411",,,,
Midas Folsom,,,,,checked,Folsom@midasgroup.us,,VinFast Labor Rate approval,,,"50 Montrose Dr, Folsom, CA 95630",,,checked,,,,,,,12/3/2025 4:43pm,,,No Routable account,,,ADAS Calibrations: ❌,,,checked,,,,,,,,,,,,,,,,,checked,checked,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,"50 Montrose Dr, Folsom, CA 95630",,,,
AFS Fleet Solutions,,,,,,ajoo@afsfleetsolutions.com,,VinFast Labor Rate approval,,,,,,,,,,,,,1/6/2026 11:32am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,checked,checked,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
"Donut Auto Parts, Tesla Specialists",,,,,,John@Donutparts.com,,VinFast Labor Rate approval,,,"3784 Omec Cir #5, Rancho Cordova, CA 95742",,,checked,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,checked,checked,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
AutoBurn,AutoBurn,cb9637ed-e65e-46ca-a700-38d728e44101,,252463,,admin@autoburn.com,,VinFast Labor Rate approval,,,"2017 Union Beltway Rd Suite B, Indian Trail, NC 28079I",,,,,,,,,,1/28/2026 1:23pm,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=cb9637ed-e65e-46ca-a700-38d728e44101,"2017 Union Beltway Rd Suite B, Indian Trail, NC 28079",,,,
Midas Tustin,Midas Tustin,29d9124b-9e55-483c-a3aa-606074619078,US810025,281234,checked,tustinmidas@gmail.com,,"Setup, training and equipment",,,"3085 Edinger Ave, Tustin, CA 92780",checked,8/13/25,checked,checked,checked,checked,checked,,checked,8/22/2025 10:40am,,,No Routable account,,,ADAS Calibrations: ❌,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,,,,,,,,,,checked,checked,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=29d9124b-9e55-483c-a3aa-606074619078,"3085 Edinger Ave, Tustin, CA 92780",Onboarding Paused,,,
Midas Manteca,Midas Manteca,0f000c8f-9577-4708-bf97-7824fcd8b121,US810056,736397,,mantecamidas@gmail.com,,"Setup, training and equipment",,,"1412 W Yosemite Ave, Manteca, CA 95336",checked,12/3/25,checked,checked,checked,,,,checked,11/7/2025 1:58pm,0,e3c8d882-ec1a-4aec-93fd-09215cfec4cd,Account created,,,ADAS Calibrations: ❌,checked,checked,checked,checked,,checked,checked,checked,checked,checked,,,,,,,,,,checked,checked,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=0f000c8f-9577-4708-bf97-7824fcd8b121,"1412 W Yosemite Ave, Manteca, CA 95336",Onboarding,,,
Midas Fair Oaks,Midas Fair Oaks,a2c519de-cae5-404b-b2ff-d401fc6bfbe8,US810051,353505,checked,FairOaks@midasgroup.us,,"Setup, training and equipment",,,"8118 Greenback Ln, Fair Oaks, CA 95628",checked,12/10/25,checked,checked,checked,,,,checked,12/3/2025 4:30pm,0,689386d6-be14-4d34-8b9a-bdeb40364fa8,Account created,,,ADAS Calibrations: ❌,checked,checked,checked,,,checked,checked,checked,checked,,,,,,,,,,,checked,checked,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=a2c519de-cae5-404b-b2ff-d401fc6bfbe8,,Onboarding,,,
