Company,Type,Address Line 1,City,State,Zip,Phone,Email,Contact Name,CRM Stage,Standard Labor Rate,Warranty Labor Rate,Website,High Priority,Notes
Auto Tech Specialist Service Center,REPAIR SHOP,7950 Clairemont Mesa Blvd,San Diego,CA,92111,(858) 221-6717,ats.sagservice@gmail.com,nathan,Contacted,,,https://www.bonitapoint76.com/,,"5/9 sent info, owner was busy will CB; 6/16 Left MGS w/ SA. 8/29 LM with reception & sent an email."
Auto-Tek,REPAIR SHOP,101 S Concord St,Minneapolis,KS,67467,(785) 392-6400,,,Lead,,,,,
AutoTek Automotive Service & Repair,REPAIR SHOP,300 Circle Lane.,Raleigh,NC,27603,(919) 661-7070,service@autotek.biz; brian@autotek.biz,Bret - SA;  Brian - owner,Contacted,182.49,,,,1/12 taked w/ Bret SA at shop thought Brian would be interested in this partnership asked me to email info so owner can review
Autotek Inc,REPAIR SHOP,8633 Antelope North Rd,Antelope,,95843,(916) 723-7664,916smog@gmail.com,Rachel,Contacted,,,,,"5/30 Rachel asked for info; 6/16 LMSG 8/21  took info down, will have Rachel CB; 10/8  needs lifts to drop batteries."
Autolink Repair Services,REPAIR SHOP,11362 Westminster Ave,Garden Grove,,,(714) 584-5665,members@autolinkrepair.com,William,Contacted,,,,Yes,"5/2 william was busy, shop will have him call me back; 5/14 owner will reach out if interested.  6/16  SA will have Will CB. 8/21 SA took # will have William CB; 8/29 sent a follow up email."
Autologic of Greensboro,REPAIR SHOP,1114 Grecade St Greensboro,,NC,27408,(336) 510-7823,service@autologicgso.com ;  Billing@autologicgso.com,,Contacted,,,,,3/30 sent email to service; 3/31 shop suggested I send to the billing email
Automotive Clinic,REPAIR SHOP,2035 Divisadero St,San Francisco,,94115,(415) 563-2915,larry@autoclinicsf.comm,Larry - SA,Contacted,,,,Yes,"6/6 SA asked me to try back next week, owners ;  6/16 Larry seems interested, asked for more info. 8/21 Larry asked for info on which shops are partnering w/ us ; 8/22 sent email with our website links."
Automotive Excellence,REPAIR SHOP,35 Executive Ave Ste 3,Rohnert Park,CA,94928,(707) 584-8700,service@yourautoexcellence.com,Dave,Contacted,,,,,8/22 they've worked on toyota EV's; shop asked for more info to discuss w/ owner. 8/29 LM w/ Darlean
Automotive Pros Inc,REPAIR SHOP,5719 W Barstow Ave,Fresno,CA,93722,(559) 930-0435,,,Contacted,,,,,10/24 LVM
Aventura Auto Specialist,REPAIR SHOP,19130 W Dixie Hwy,Aventura,FL,33180,(305) 705-4280,aventuraautocare@gmail.com,Philippe -owner,Contacted,,,,,"1/14 Philippe was with a customer asked for a CB in 20 min, sent info email."
AT Automotive,SPECIALIST,8561 Weyand Ave.,Sacramento,CA,95828,(916) 957-6884,ATAutomotive99@gmail.com,Albert,Contacted,,,,,"8/8 Albert was interested, but busy asked for more info."
Baseline Tire & Total Car Care,REPAIR SHOP,10950 US-441,Belleview,FL,34420,(352) 245-4100,customercare@baselinetire.com,David,Contacted,,,,,1/14 sent email
Bavarian Motor Repairs,REPAIR SHOP,8527 Walker Mill Rd,Capitol Heights,MD,20743,(240) 471-6828,Service@BavarianMotorRepairs.com,DaveUnlock New EV Repair Opportunities,Contacted,140 - 209 Labor Rate range,,,,"4/7 left VM for owner, sent email to shop aswell; Dave called back will review info and call me back. 4/10 Dave will hold off for now."
Beamer Tire & Auto Repair,REPAIR SHOP,4430 W Wendover Ave,Greensboro,NC,27407,(336) 663-7351,doug@beamertire.com,,Contacted,,,,,"4/1 sent info email to owner,"
Begley Auto Repair,REPAIR SHOP,"3401 Manatee Ave W Bradenton, 34205",Bradenton,,34205,(941) 748-3297,,Jason - GM,Contacted,,,,,1/16 advisor asked me to call back speak with Jason the GM
Belleair Auto Care,REPAIR SHOP,795 Indian Rocks Rd N,Belleair Bluffs,FL,33770,(727) 648-4982,tom.eisele@yahoo.com,Tom,Contacted,160-189,,,,"1/14 advisor to info down to talke w/ MGMT & Owners, also sent email."
BelYer Hybrid,REPAIR SHOP,10427 Bailey Rd A,Cornelius,NC,28031,(980) 737-7779,sales@belyer.com,anthony,Contacted,,,,,12/23 LVM; got a CB advisor suggested i send an email  to the salse team he would frwd it to MGR.
Bennett Automotive,REPAIR SHOP,67 Taylor Ct,Thousand Oaks,CA,91360,(805) 496-8886,office@bennettauto.net,Matt,Contacted,184-210,,,,11/18 Matt was OOO advisor took my info down & asked me to email Matt.
Best Deal Hybrid,REPAIR SHOP,2020 E Hammond Ave,Fresno,CA,93703,(559) 355-9998,,,Contacted,,,,,10/30 advisor took my # will have MGR call me back; 11/4 LVM; 4/13/26 LVM
BIG Q AUTO REPAIR,REPAIR SHOP,2501 E Pacific Coast Hwy,Signal Hill,CA,90755,(562) 343-5681,bigqsignalhill@gmail.com Rick's email- ricofilms@me.com,rick,Contacted,,,,Yes,"5/2 LVM W/ Rick, asking for a CB. 5/14 sent f/u email; 5/15 LVM;  6/16  sent txt to rick looking asking to set up sometime to chat."
Bill Hahn Automotive,REPAIR SHOP,3737 Transport st,Ventura,,93003,(805) 644-1037,josh@billhahnauto.com,Amber /Josh,Contacted,,,,,5/22 Amber asked for email info to josh; 6/16  took my # will have Josh CB
Bills Quality,REPAIR SHOP,2016 Donville Ave,Simi Valley,,,,info@billsqualityautocare.com,"Bill owner,  Adam",Contacted,,,https://cecilsautocare.com/,,5/21 Adam states they have replaced drive unit LR 230
Bimmex,REPAIR SHOP,25241 Bernwood Dr,Bonita Springs,FL,34135,(239) 949-4933,adomosaru@gmail.com,,Contacted,,,,,1/15 service advisor asked me to email info to review w/ owner
Bloom Auto Collision & Repair,REPAIR SHOP,2555 Lafayette St #115,Santa Clara,CA,95050,(408) 753-1327,bloomautos@gmail.com,salomon,Contacted,,,,,"8/19 Salomon was busy, asked for info."
Bonita Point Auto Care,REPAIR SHOP,1495 East H St,Chula Vista,,91910,(619) 421-7600,bonitapointautocare@gmail.com,Lori Hupp,Contacted,,,,Yes,5/14 not ready for teslas but interested in the future
Burbank Motorworks,REPAIR SHOP,2208 W Burbank Blvd,Burbank,,,(818) 848-1656,info@burbankmotorworks.com;   yp3ca@aol.co,,Contacted,,,,Yes,"5/2 info-email bounced back, was given a new email to try today."
Butler's Mechanics,REPAIR SHOP,7950 NC-50,Angier,NC,27501,(910) 984-4704,,,Lead,,,,,"12/23 no shop, looks like a trailer park"
Clovis Auto Shop,REPAIR SHOP,210 Clovis Ave,Clovis,CA,93612,(559) 323-4141,rc@clovisautoshop.com,Jonny Advisor ;  Raul onwer,Contacted,,,,,10/21 Jonny will give my # to Raul -owner; also sent email.
C&M Automotive & Transmission,REPAIR SHOP,4292 Valley Fair St,Simi Valley,,,(805) 522-1759,CandM.autoandtrans@gmail.com,Rudy,Contacted,,,,,"5/14 SA asked us to send info will have owner Rudy review, 5/19 F/U email, LM  Anthony."
California Auto House,REPAIR SHOP,7333 Roseville Rd #5,Sacramento,CA,95842,(916) 694-7512,californiaautohouse@gmail.com,Pete - owner,Contacted,150,,,,mikey SA asked for email to bring it to the owners att.
California Automotive Solutions,REPAIR SHOP,4035,Oceanside,CA,92056,(760) 726-2247,californiaautomotivesolutions@gmail.com,eduardo,Contacted,,,,,5/9 Eduardo is interestedsent info
California Coast Auto Repair,REPAIR SHOP,1425 Baker Street,Costa Mesa,,,(714) 435-0700,,,Contacted,,,,,4/23 advisor will pass along my # to owner
California Hybrid & EV,REPAIR SHOP,6050 Vineland Ave #7,North Hollywood,,,(818) 302-9005,singhauto00@gmail.com,Singh,Contacted,,,,Yes,"5/16 not ready right now, too busy but interested in our partnership"
Camarillo Car Care Center,REPAIR SHOP,2739 E Daily Dr,Camarillo,,93010,(805) 419-2743,service@camarillocarcare.com,Scott-SA; Patrick - Owner,Contacted,,,,,6/9 sent info. 8/20 LVM asking Patrick to CB
Camarillo Independent Automotive,REPAIR SHOP,1955 E Daily Dr Ste 105,Camarillo,CA,93010,(805) 987-8180,ryan@camarilloindy.com,Ryan,Contacted,169-200,,,,8/20 Ryan asked for more info to show the MGM-team / owners ; 10/22 service advisor took my info down to pass along to onwer
Carlsbad Auto Service,REPAIR SHOP,3181 Tyler St,Carlsbad,CA,92008,(760) 729-1155,jaime@carlsbadautoserviceinc.com,Jaime,Contacted,215,,,,"10/31 service advisor asked for # to have Jaime call me back, also sent an email"
CarMed Collision & Repair Inc,BODYSHOP,5635 Washington Blvd,Los Angeles,CA,90016,(323) 591-0197,charbel@automedcr.com,Charbel,Contacted,,,,,"8/29 sounded interested, didn't have too much time to chat, sent email w/ info;  9/18.. 9/26 Charbel  will review email and CB when ready."
CarNerds Santa Monica,REPAIR SHOP,,,,,,,Gio,Contacted,,,,,"4/10 Gio is interested, asked for contract, will send after Santa Monica's LR is provided."
CarNerds,REPAIR SHOP,713 Torrance Blvd,Redondo Beach,CA,90277,(310) 504-0103,ronyc20@gmail.com,Rony,Contacted,155,,,,"2/11 left msg with Liz, asking Rony to call me back, sent Rony an email too; 2/12 not in yet (11:14AM) try back later"
CarStore USA,REPAIR SHOP,9831 E Harry St,Wichita,KS,67207,(316) 202-5000,manuel@carstoreusa.com,Many - Service Mgr,Contacted,150,135,,,"12/18 Spoke with Manny, the Service Manager and only VF-trained tech. They canceled VF due to lack of support, parts delays, and slow warranty payouts, didn’t see it as profitable. I explained RepairWise and how we support partners by handling service advising, customer service, parts ordering, tech support, and warranty claims so shops can focus on wrenching and software updates. He wasn’t fully sold but agreed to review the info and discuss with ownership."
Carolina Auto Service,REPAIR SHOP,160 Hanes Mall Cir,Winston-Salem,NC,27103,(336) 765-8599,cmas@triad.rr.com;  casdryer@gmail.com,Nick,In Review,150,150,,,4/8 shop says they work on EV's. sent contract & info email.
Carolinas Collision Center,BODYSHOP,4900 Capital Blvd.,Raleigh,NC,27616,(919) 790-4690,,,Lead,,,,,
Carolinas Hybrid,REPAIR SHOP,234 E Cama St,Charlotte,NC,28217,(704) 900-5285,maryellen@thsotc.com,,Contacted,,,,,"12/23 sent email to Marry, owners are gone for the holidays."
Cartech Of Sacramento,REPAIR SHOP,10275 Old Placerville Rd Suite 1,Sacramento,CA,95827,(916) 363-2886,,,Contacted,,,,,10/9 left VM asking for a callback
Centerline Auto Repair,REPAIR SHOP,2260 Arden Way,Sacramento,CA,95825,(916) 777-2886,centerlinearden@gmail.com,Ramon,Contacted,200,,,,"10/9 VM box is full,  Ramon calledback asked for info to review  w/ owner"
Central Auto Repair & Electric,REPAIR SHOP,975 N West St,Wichita,KS,67203,(316) 205-0015,serviceteamcaewichita@gmail.com,,Contacted,140-195,,,,"12/8 not doing alot of EV repairs, asked for info to pass alogn to mgmt; 12/9 email bounced back resent to updated email address"
Central Florida Hybrid EV Auto,REPAIR SHOP,1109 W Church St,Orlando,FL,32805,(407) 988-4678,centralflhybrid@gmail.com,juan carlos;,Contacted,150,,,,1/6 JuanCarlos MGR is interested asked for info to be emaiiled so he could go over w/ owner
Certified Hybrid & EV,SPECIALIST,4001 Birch St,Newport Beach,CA,92660,(949) 295-1695,ali949us@gmail.com,John,Contacted,,,https://dhcarcare.com/,,5/12 has worked on teslas/ battery replacements;  11/6  asked for a call after 5pm
Champion Automotive Service Center,REPAIR SHOP,4410 W. Gate City Blvd,Greensboro,NC,27407,(336) 854-1133,atmac318@gmail.com,sherwood,Contacted,135,,,,"4/1 sent email to Sherwood (owner) wife will have him review , follow up in a few days"
Charlotte Auto Body and Repair,REPAIR SHOP,9222 Monroe Rd,Charlotte,NC,28270,(704) 443-7794,matthew@charlotteautobodyandrepair.com,Mathew Babel,Contacted,150,150,,,"1/23 Matthew is interested, asked for contract to look over."
Christian's Automotive And Tire,REPAIR SHOP,,,,,,,,Lead,,,,,
Christian Brothers Automotive E Wichita,REPAIR SHOP,1302 N Woodlawn Blvd,Wichita,KS,67208,(316) 366-0801,ks004@cbauto.net,Anthony,Contacted,,,,,"12/12  Anthony stated not ready yet, possibly for 2026"
Christian Brothers Automotive Shawnee,REPAIR SHOP,22240 Midland Dr,Shawnee,KS,66226,(913) 946-7726,scott.green@cbauto.net,Scott,Contacted,,,,,12/15 Service Advisor provided Scotts email to send info over so they can look over. no labor rate /menu pricing
Christian Brothers Automotive W Wichita,REPAIR SHOP,10080 West 29th St N,Wichita,KS,67205,(316) 334-2107,ks003@cbauto.net,James,Contacted,,,,,12/15 sent info so James can go over it with owner.
City Automotive Car Sales,REPAIR SHOP,4807 W. Gate City Blvd Greensboro NC 27407,,,27407,(336) 852-3188,cityautomotivenc@outlook.com,Jesuss,Contacted,110,,,,"4/1 Claudia took my info down, provided email for Jessus"
City EV Center,REPAIR SHOP,7527 W Oakland Park Blvd,Lauderhill,FL,33319,(954) 741-7701,contact@citycollisions.com,eugen,In Review,200,180,,,"12/30 interested in partnership, and VF sent info and contract; 1/13 LVM asking Eugen to call me back"
Classic Import Auto Service,REPAIR SHOP,134 Paisley St,Greensboro,NC,27401,(336) 430-0908,steven.classicimportautoservice@gmail.com,steven,Contacted,,,,,"4/1 advisor wasn't interested, but provided MGR's email to send info"
Clarke Automotive,REPAIR SHOP,131 Central Dr,Brandon,FL,33510,(813) 685-2939,bclarke@gte.net,,Contacted,,,,,1/15 sent info via email.
collision body specialists.,BODYSHOP,12301 Sherman Way,North Hollywood,,,(818) 742-6060,jim@santapaulacollision.com,,Contacted,,,,,"4/29 - Email bounced back, LM with service advisor Jim will call me backk"
CollisionWorks,BODYSHOP,500 E Anaheim St,Long Beach,CA,90813,(562) 432-5657,,James,Lead,,,,,
Commercial Tire Center,REPAIR SHOP,557 Jessie St,San Fernando,CA,91340,(818) 373-4915,casey@ctirecenter.com,Casey Binafard,In Review,165,165,,,"9/19 refferal by CarOTech,  LVM asking for CB; 9/25 LVM & sent text;   3 lift shop, 9000 sqf,  9000sqf parking lot,"
Complete Auto Shop,REPAIR SHOP,1212 Minnesota Ave Ste A,Kansas City,KS,66102,(913) 538-9700,tommy@completeautos.com,Tommy,Contacted,159,,,,"12/11 Tommy asked for info email, was busy with customers, didn't have time to go into details will follow up Fri or Next week"
Complete Car Care  (Fresno),REPAIR SHOP,5787 W Barstow Ave,Fresno,CA,93722,(559) 275-0157,complete_car_care@hotmail.com,Warren,Contacted,196,,,,"4/13 Raymon SA provided email, LR, and owners name"
Complete Car Care Encinitas,REPAIR SHOP,318A N El Camino Real,Encinitas,CA,92024,(760) 634-1000,completecarcare318@gmail.com,Andy Kaghaz,Contacted,239.99,200,,,"11/10 Lou took my info to pass along to Andy (owner) also gave me Andy's email to send him info; 11/10 Andy is very interested, they have a 16 bay shop with quality techs on staff, which is why their LR is higher then what we're use to."
Complete Performance,REPAIR SHOP,8999 Elk Grove Blvd,Elk Grove,,,(916) 685-4708,dbacompleteperformance@gmail.com,Ben,Contacted,,,,,"6/2 LR 175- basic EV services, looking to get into more; 6/6 Ben hasn't looked over ur info will look it over today or this weekend & he will reach out."
